"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_1.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","mean_of_ratio_deviance","diff_filter","alternative_formula","Sample1_A12-TH1-36.csv","Sample2_A12-TH1-37.csv","Sample3_A12-03_1.csv","Sample4_A12-04_1.csv","Sample5_A12-05_1.csv","Sample6_A12-06_1.csv","Sample7_A12-07_1.csv","Sample8_A12-09_1.csv","Sample9_A12-11_1.csv","Sample10_A12-12_1.csv","Sample11_A12-15_1.csv","Sample12_A12-16_1.csv","Sample13_A12-17_1.csv","Sample14_A12-18_1.csv","Sample15_A12-20_1.csv","Sample16_A12-21_1.csv","Sample17_A12-22_1.csv","Sample18_A12-24_1.csv","Sample19_A12-TH-32_1.csv","Sample20_A12-TH-35_1.csv","Sample21_A12-TH1-23_1.csv","Sample22_A12-TH1-25_1.csv","Sample23_A12-TH1-26_1.csv","Sample24_A12-TH1-27_1.csv","Sample25_A12-TH1-28_1.csv","Sample26_A12-TH1-29_1.csv","Sample27_A12-TH1-31_1.csv","Sample28_A12-Top33_1.csv"
0,150.001962811084,0.3550776,151.009185623,"C_7 H_5 O_1 N_1 S_1","C7H5NOS","C_7 H_4 O_1 N_1 S_1",1,7,0.714,0.143,7,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2743074133844,0,150.00202817104,0.403342254842987,12,0.75,0.78,6,1,0,1,0,0,0,0,0,0,0,0,0,0,30.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1734,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,2553.3,701,NA,341.6,NA,652.6,NA,483.8,69.9,94,1596.8,407.3,2290.9,274.6
0,150.056103194576,0.3401486,151.063328242,"C_8 H_9 O_2 N_1","C8H9NO2","C_8 H_8 O_2 N_1",2,8,1.125,0.25,8,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2743074133844,0,150.056140201485,0.47255341976434,23,0.4,0.5,5,0,0,0,1,0,1,0,0,0,0,0,0,0,7.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1506,Inf,FALSE,NA,NA,NA,93.4,NA,98,96.5,64.8,118.1,108.4,120.7,NA,52.8,107.6,34.6,290.5,40.6,136.2,361.8,NA,255.1,27,358.4,358.3,483.6,545.7,306.1,544.2,148.8
0,150.092485492665,0.319663,151.099713623,"C_9 H_13 O_1 N_1","C9H13NO","C_9 H_12 O_1 N_1",2,9,1.444,0.111,9,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2743074133844,0,150.092524515189,0.408579312052438,10,0.29,0.33,4,0,0,0,1,0,1,0,0,0,0,0,0,0,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1513,Inf,FALSE,NA,NA,NA,28.6,NA,90.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,64.8,NA,55.9,NA,27.8,122.7,84.4,211.4,NA,56,NA
-1,151.04012203964,0.3591906,152.047343857,"C_8 H_8 O_3","C8H8O3","C_8 H_7 O_3",4,8,1,0.375,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3793093535142,8550.16666666667,151.040156746518,0.534839025221357,24,0.4,0.54,5,1,0,1,0,0,0,0,0,0,0,0,0,0,48.67,-532.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.963424129221,NA,NA,NA,NA,15,532.14,FALSE,NA,NA,NA,336.1,NA,521.6,402.2,313.9,413.3,506.8,434.5,61.5,427.5,517.4,3337.6,1102.6,397.7,796,1703.6,NA,1717.6,185.5,2747.3,937.2,1793.9,4640.6,1392.1,5040.4,1086.3
-1,151.076495944801,0.2836463,152.083729238,"C_9 H_12 O_2","C9H12O2","C_9 H_11 O_2",4,9,1.333,0.222,9,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3793093535142,10100.1739130435,151.076535662262,0.454367611360286,23,0.29,0.38,4,0,0,0,1,0,1,0,0,0,0,0,0,0,42.14,-740.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.86080297912,NA,NA,NA,NA,26,740.77,FALSE,NA,NA,NA,406.7,NA,724.8,602.1,481.3,614,655.2,757.5,87.9,459.1,543.8,1319.1,1396,512.9,NA,1672.6,NA,1125,347,2103.8,1669.4,2379.7,2718.7,1628,2550,812
0,151.112865275833,0.1780698,152.120114619,"C_10 H_16 O_1","C10H16O","C_10 H_15 O_1",2,10,1.6,0.1,10,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3793093535142,0,151.112912947783,0.362270064515904,22,0.22,0.26,3,0,0,0,0,0,0,1,0,1,0,0,0,0,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,Inf,FALSE,NA,NA,NA,150.6,NA,326,222.5,145.1,126.3,304.8,400,NA,186.3,197.7,897.4,434,NA,NA,471.3,1568.6,493.8,150.7,1072,484.4,772.7,1282.1,424.6,1261,291.7
-1,152.035336663086,0.1322115,153.042592861,"C_7 H_7 O_3 N_1","C7H7NO3","C_7 H_6 O_3 N_1",3,7,1,0.429,7,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4847309205919,11975.3333333333,152.035377404306,0.496492819811713,24,0.33,0.56,5,1,0,1,0,0,0,0,0,0,0,0,0,0,24.75,-680.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.120570403689,NA,NA,NA,NA,1500,680.85,FALSE,NA,NA,NA,271,130.8,277.1,173.8,161.8,180.9,212.7,202.1,36.5,247.2,196.7,1033.6,957.7,61,331.6,NA,NA,1912.3,95.4,1166.7,566.6,1063.1,2637.8,868.5,2480.3,467.3
-1,152.043457492695,0.2301982,153.050698692,"C_7 H_8 O_3 C13_1","C8H8O3","C_7 H_7 O_3 C13_1",4,8,1,0.375,7,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4847309205919,0,152.043495578758,0.392373339621962,8,0.4,0.54,5,1,0,1,0,0,0,0,0,0,0,0,0,0,4.36,-532.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.963424129221,NA,NA,NA,NA,15,532.14,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.6,33.2,NA,NA,29.7,NA,58.6,NA,110.9,NA,44.6,305.7,NA,249.8,NA
0,152.071694783995,0.0458979,153.078978242,"C_8 H_11 O_2 N_1","C8H11NO2","C_8 H_10 O_2 N_1",2,8,1.375,0.25,8,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4847309205919,0,152.071724782028,0.253674892185865,16,0.2,0.33,4,0,0,0,1,0,1,0,0,0,0,0,0,0,5.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1507,Inf,FALSE,NA,NA,NA,NA,NA,120.2,44.5,68.1,101.9,34.9,95.7,NA,NA,NA,32,198.2,NA,NA,NA,NA,143.6,33.9,148.1,261.1,296.5,345.6,197.3,221.2,NA
-1,152.07986360757,0.3655826,153.087084073,"C_8 H_12 O_2 C13_1","C9H12O2","C_8 H_11 O_2 C13_1",4,9,1.333,0.222,8,12,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4847309205919,0,152.079925343224,0.466477990107106,7,0.29,0.38,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1.71,-740.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.86080297912,NA,NA,NA,NA,26,740.77,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,30.1,NA,NA,NA,NA,NA,NA,47,NA,NA,80.4,NA,39.6,NA,28.3,NA,NA,54.2,NA,38.1,NA
0,153.019358252986,0.1701589,154.026608476,"C_7 H_6 O_4","C7H6O4","C_7 H_5 O_4",2,7,0.857,0.571,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5905737916036,0,153.019398923016,0.4664235409464,20,0.33,0.6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,9.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,Inf,FALSE,NA,NA,NA,70.6,NA,134.3,125.5,85.9,123.1,246.5,NA,NA,42.5,110.1,158.4,231.7,NA,139,308.3,NA,246.8,NA,450.9,140.6,523.4,572.4,318.9,571.7,202.9
0,153.03060884955,0.2818527,154.037841865,"C_6 H_6 O_3 N_2","C6H6N2O3","C_6 H_5 O_3 N_2",2,6,1,0.5,6,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5905737916036,0,153.030651484817,0.516671695586993,8,0,0.6,5,1,0,1,0,0,0,0,0,0,0,0,0,0,4.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2029,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.3,NA,NA,175.5,NA,54.7,NA,84.3,NA,164.7,114.7,104.8,119.1,NA
0,153.032175741511,0.2876081,154.039496476,"C_4 H_11 O_4 P_1","C4H11O4P","C_4 H_10 O_4 P_1",1,4,2.75,1,4,11,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5905737916036,0,153.032197365138,0.249060256780661,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,807,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,NA,NA,484.3,37.3,NA,NA
-1,153.038634427409,0.23913,154.045947696,"C_6 H_7 O_3 N_1 C13_1","C7H7NO3","C_6 H_6 O_3 N_1 C13_1",3,7,1,0.429,6,7,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5905737916036,0,153.038682040742,0.345384273593922,3,0.33,0.56,5,1,0,1,0,0,0,0,0,0,0,0,0,0,2.2,-680.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.120570403689,NA,NA,NA,NA,1500,680.85,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.8,NA,NA,NA,NA,55.2,NA,63.6,NA
-1,153.055752443956,0.2273031,154.062993857,"C_8 H_10 O_3","C8H10O3","C_8 H_9 O_3",4,8,1.25,0.375,8,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5905737916036,8443.65217391304,153.055786933994,0.426518932159224,23,0.2,0.38,4,0,0,0,1,0,1,0,0,0,0,0,0,0,40.34,-738.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.0814882229717,NA,NA,NA,NA,16,738.17,FALSE,NA,NA,NA,282.9,NA,691.1,495.2,432,669.1,684.3,997.6,82.7,576.7,511.6,1848.3,1108.5,349.1,NA,1637.9,NA,866.3,258,1899.5,1166.1,2113.6,2941.4,1515,2748.3,796.4
-1,153.09213841231,0.2310586,154.099379238,"C_9 H_14 O_2","C9H14O2","C_9 H_13 O_2",3,9,1.556,0.222,9,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5905737916036,8666.83333333333,153.092171991399,0.467876284444511,24,0.14,0.25,3,0,0,0,0,0,0,1,0,1,0,0,0,0,35.62,-738.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.148688738668,NA,NA,NA,NA,27,738.86,FALSE,NA,NA,NA,262.2,NA,708,467.9,308.7,284.9,880.7,648.3,66.9,366.5,365.8,3017.5,708.4,234.2,667.8,1012.2,NA,787.9,325.1,2321.3,791.7,1919.3,3112.4,914.6,1879.9,680.8
0,153.128525510104,0.2421436,154.135764619,"C_10 H_18 O_1","C10H18O","C_10 H_17 O_1",2,10,1.8,0.1,10,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5905737916036,0,153.128562353017,0.440424007229234,17,0.11,0.16,2,0,0,0,0,0,0,1,0,1,0,0,0,0,36.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,Inf,FALSE,NA,NA,NA,317.7,NA,197.5,NA,NA,NA,75.5,NA,NA,237.3,205.9,5992.8,341.6,NA,100,926.9,NA,790.8,112.4,523.4,NA,729.1,3263.2,759,1247.8,709.5
0,154.014603334138,0.1437604,155.02185748,"C_6 H_5 O_4 N_1","C6H5NO4","C_6 H_4 O_4 N_1",2,6,0.833,0.667,6,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.696839650237,9830.2,154.014634473075,0.46210028094261,20,0,0.67,5,1,1,0,0,0,0,0,0,0,0,0,0,0,9.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498,Inf,FALSE,NA,NA,NA,185.2,143.9,124.2,NA,59.1,100.8,108.6,66.1,NA,63.6,81,124.7,98.7,NA,NA,483.1,NA,171.3,NA,273.8,181.3,525.6,690.9,725.2,491.2,147.4
0,154.050994710894,0.1823895,155.058242861,"C_7 H_9 O_3 N_1","C7H9NO3","C_7 H_8 O_3 N_1",3,7,1.286,0.429,7,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.696839650237,0,154.051027712241,0.429445077947669,15,0,0.33,4,0,0,0,1,0,1,0,0,0,0,0,0,0,5.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1501,Inf,FALSE,NA,NA,NA,NA,NA,42.9,NA,37,105.3,NA,30.9,NA,NA,52.2,NA,121.9,NA,NA,160,NA,40.9,NA,194.8,74.8,267.8,373.3,133.5,375.3,87
